Depth,AC,DEN,CN,LLD,GR,Pp
3101.625,80.295,2.528,23.178,3.05,83.755,30.7191429
3101.75,80.007,2.532,23.357,3.043,84.845,30.32833024
3101.875,79.977,2.541,23.538,3.04,84.921,30.29089635
3102,80.063,2.552,23.719,3.044,84.412,30.4134276
3102.125,80.319,2.557,23.82,3.069,83.823,30.7676784
3102.25,80.541,2.559,23.838,3.091,83.235,31.07224563
3102.375,80.616,2.558,23.612,3.14,82.682,31.17710273
3102.5,80.668,2.552,23.262,3.181,82.257,31.25082126
3102.625,80.8,2.548,23.134,3.191,81.877,31.43115577
3102.75,80.989,2.543,23.172,3.183,81.423,31.68589592
3102.875,81.043,2.538,23.386,3.149,80.873,31.7611183
3103,80.961,2.533,23.471,3.131,80.482,31.65676402
3103.125,80.496,2.529,23.337,3.112,80.41,31.03926737
3103.25,79.806,2.524,23.077,3.118,81.352,30.09761687
3103.375,79.361,2.515,22.572,3.126,82.928,29.47642215
3103.5,78.966,2.507,22.062,3.137,83.958,28.91512746
3103.625,78.521,2.505,21.764,3.134,84.736,28.27033272
3103.75,78.207,2.507,21.53,3.109,85.471,27.8087564
3103.875,78.097,2.517,21.384,3.071,85.759,27.64813227
3104,78.155,2.531,21.469,3.058,85.47,27.73908614
3104.125,78.722,2.54,21.653,3.065,84.779,28.58103883
3104.25,79.541,2.545,21.879,3.128,83.685,29.75870372
3104.375,79.891,2.548,22.122,3.179,83.154,30.25146005
3104.5,79.951,2.547,22.089,3.306,82.894,30.33847493
3104.625,79.799,2.546,21.811,3.448,82.078,30.13167446
3104.75,79.653,2.545,21.34,3.523,79.34,29.931876
3104.875,79.683,2.542,20.366,3.684,75.833,29.97784092
3105,79.649,2.54,19.306,3.869,73.841,29.93424779
3105.125,78.711,2.539,18.655,3.972,72.503,28.59711252
3107,77.976,2.528,18.874,4.124,67.199,27.56708416
3107.125,80.457,2.53,20.497,3.93,71.167,31.11336298
3107.25,82.326,2.531,22.008,3.518,76.198,33.5436534
3107.375,83.318,2.53,23.772,3.15,80.064,34.75885646
3107.5,84.098,2.527,24.804,3.009,81.698,35.68029439
3107.625,84.722,2.525,24.961,2.824,82.56,36.39702488
3107.75,84.747,2.524,24.826,2.75,82.53,36.42904932
3107.875,84.311,2.524,24.346,2.748,81.803,35.93728262
3108,83.478,2.525,23.709,2.803,81.504,34.96891925
3108.125,81.506,2.526,23.128,2.917,81.614,32.53061811
3108.25,79.071,2.525,22.382,2.984,82.116,29.2185542
3109.25,78.384,2.519,22.858,3.398,76.228,28.24922546
3109.375,79.879,2.525,23.22,3.251,79.748,30.39403966
3109.5,80.847,2.531,23.1,3.111,82.081,31.71101798
3109.625,81.801,2.534,22.864,3.049,83.776,32.95621077
3109.75,82.495,2.535,22.663,2.949,84.298,33.8317304
3109.875,82.87,2.533,22.64,2.896,82.84,34.29600303
3110,83.04,2.528,22.906,2.885,81.273,34.50620181
3110.125,82.555,2.526,23.145,2.877,80.052,33.9175951
3110.25,81.528,2.526,23.297,2.875,79.587,32.62586229
3110.375,80.854,2.531,23.271,2.875,80.209,31.74797893
3110.5,80.491,2.538,23.084,2.884,80.932,31.26626323
3110.625,80.818,2.542,22.945,2.889,81.594,31.70806027
3110.75,81.765,2.545,22.835,2.904,82.135,32.94562416
