Depth,AC,nAC,Pv,DEN,CN,LLD,GR
2401.25,93.181,92.8374974,55.3007875,2.414,29.192,1.356,50.771
2402.125,96.835,92.82129287,55.32093875,2.431,31.475,1.596,50.363
2402.25,92.057,92.81897817,55.3238175,2.428,30.361,1.599,46.734
2402.375,89.687,92.81666352,55.32669625,2.425,30.233,1.591,45.102
2402.5,90.203,92.81434894,55.329575,2.424,30.123,1.57,44.498
2402.625,90.852,92.81203441,55.33245375,2.424,29.753,1.545,44.042
2402.75,91.716,92.80971994,55.3353325,2.423,29.012,1.512,43.982
2402.875,92.42,92.80740552,55.33821125,2.422,28.692,1.485,44.214
2403,92.836,92.80509117,55.34109,2.422,28.521,1.458,44.643
2403.125,93.392,92.80277687,55.34396875,2.423,28.808,1.43,45.038
2403.25,94.367,92.80046263,55.3468475,2.425,29.394,1.407,45.276
2403.375,95.587,92.79814845,55.34972625,2.426,29.412,1.396,45.328
2403.5,95.936,92.79583432,55.352605,2.427,29.204,1.397,45.401
2403.625,95.917,92.79352025,55.35548375,2.426,28.414,1.402,45.538
2403.75,94.896,92.79120624,55.3583625,2.425,27.471,1.418,45.826
2403.875,93.185,92.78889229,55.36124125,2.424,26.921,1.438,46.194
2404,92.196,92.7865784,55.36412,2.424,26.552,1.47,47.135
2404.125,91.34,92.78426456,55.36699875,2.425,26.827,1.509,48.305
2404.25,90.811,92.78195078,55.3698775,2.43,27.439,1.558,49.713
2404.375,90.592,92.77963706,55.37275625,2.44,27.997,1.601,50.516
2404.5,90.721,92.7773234,55.375635,2.449,28.505,1.655,50.804
2404.625,90.953,92.77500979,55.37851375,2.457,28.869,1.718,51.218
2404.75,91.46,92.77269624,55.3813925,2.459,29.312,1.791,52.055
2404.875,92.114,92.77038275,55.38427125,2.442,29.55,1.851,53.214
2405,92.569,92.76806932,55.38715,2.418,29.732,1.929,54.302
2405.125,93.049,92.76575595,55.39002875,2.387,29.762,2.019,54.951
2405.25,93.581,92.76344263,55.3929075,2.338,29.801,2.124,54.382
2405.375,94.011,92.76112937,55.39578625,2.296,29.876,2.209,53.151
2405.5,93.967,92.75881617,55.398665,2.277,29.927,2.303,51.945
2405.625,93.726,92.75650302,55.40154375,2.266,29.828,2.397,51.023
2405.75,92.9,92.75418994,55.4044225,2.261,29.497,2.472,50.938
2405.875,91.56,92.75187691,55.40730125,2.261,29.238,2.494,51.44
2406,90.744,92.74956394,55.41018,2.261,29.098,2.443,52.811
2406.125,90.498,92.74725102,55.41305875,2.26,29.667,2.368,54.708
2406.25,92.284,92.74493817,55.4159375,2.257,31.117,2.252,57.646
2406.375,96.918,92.74262537,55.41881625,2.255,34.261,2.159,60.495
2407.375,96.939,92.72412506,55.44184625,2.282,38.886,1.688,61.952
2407.5,96.215,92.72181278,55.444725,2.28,37.908,1.681,62.328
2407.625,97.06,92.71950056,55.44760375,2.277,37.604,1.685,63.164
2408.5,96.302,92.70331663,55.467755,2.222,32.742,2.001,65.872
2408.625,92.956,92.70100487,55.47063375,2.224,31.457,2.06,64.908
2408.75,90.902,92.69869316,55.4735125,2.235,29.62,2.138,63.076
2408.875,90.262,92.69638152,55.47639125,2.255,28.547,2.203,61.374
2409,91.032,92.69406993,55.47927,2.275,27.783,2.257,60.005
2409.125,92.316,92.6917584,55.48214875,2.296,28.191,2.305,59.141
2409.25,95.089,92.68944693,55.4850275,2.326,29.665,2.327,59.859
2410,97.392,92.67557931,55.5023,2.389,33.353,2.251,69.277
2410.125,94.532,92.67326824,55.50517875,2.389,32.891,2.236,66.412
2410.25,92.41,92.67095723,55.5080575,2.386,31.797,2.23,63.762
2410.375,91.683,92.66864628,55.51093625,2.383,30.577,2.238,62.699
2410.5,92.041,92.66633538,55.513815,2.382,29.467,2.269,62.918
2410.625,92.447,92.66402454,55.51669375,2.382,28.929,2.303,63.288
2410.75,92.882,92.66171376,55.5195725,2.383,28.745,2.332,63.752
2410.875,92.965,92.65940304,55.52245125,2.384,29.047,2.333,63.725
2411,91.926,92.65709238,55.52533,2.385,29.464,2.277,62.932
2411.125,90.633,92.65478177,55.52820875,2.387,29.939,2.2,62.206
2411.25,89.148,92.65247122,55.5310875,2.392,29.972,2.095,62.054
2411.375,89.179,92.65016073,55.53396625,2.396,29.916,2.02,62.93
2411.5,92.807,92.64785029,55.536845,2.397,30.102,1.976,64.858
2411.625,97.645,92.64553991,55.53972375,2.397,31.693,1.947,66.596
2412.375,96.288,92.63167886,55.55699625,2.378,31.017,1.916,56.12
2412.5,95.077,92.62936889,55.559875,2.374,29.374,1.913,56.137
2412.625,95.093,92.62705897,55.56275375,2.367,29.309,1.916,56.57
2412.75,97.786,92.62474911,55.5656325,2.352,29.943,1.926,57.701
2413.25,95.31,92.61551026,55.5771475,2.326,27.28,1.669,54.713
2413.375,92.467,92.61320069,55.58002625,2.336,27.267,1.58,52.741
2413.5,92.149,92.61089117,55.582905,2.343,27.335,1.507,51.033
2413.625,92.119,92.60858172,55.58578375,2.345,27.417,1.436,49.432
2413.75,92.641,92.60627232,55.5886625,2.339,27.276,1.381,48.292
2413.875,93.104,92.60396298,55.59154125,2.327,27.324,1.351,47.777
2414,93.237,92.6016537,55.59442,2.319,27.489,1.327,48.004
2414.125,93.432,92.59934447,55.59729875,2.315,27.957,1.305,48.551
2414.25,93.849,92.59703531,55.6001775,2.326,28.332,1.288,49.671
2414.375,94.498,92.5947262,55.60305625,2.353,28.24,1.282,50.538
2414.5,94.945,92.59241714,55.605935,2.38,28.131,1.297,50.864
2414.625,95.306,92.59010815,55.60881375,2.405,28.14,1.323,51.283
2414.75,95.404,92.58779921,55.6116925,2.433,28.369,1.369,52.192
2414.875,95.202,92.58549033,55.61457125,2.444,28.221,1.418,53.844
2415,94.965,92.58318151,55.61745,2.444,27.901,1.499,56.656
2415.125,94.729,92.58087275,55.62032875,2.441,27.058,1.599,59.313
2415.25,94.441,92.57856404,55.6232075,2.434,26.086,1.728,60.889
2415.375,93.954,92.57625539,55.62608625,2.427,25.703,1.838,60.759
2415.5,93.173,92.5739468,55.628965,2.424,25.533,1.959,60.025
2415.625,92.287,92.57163826,55.63184375,2.422,26.143,2.077,59.748
2415.75,91.288,92.56932979,55.6347225,2.423,27.198,2.169,60.8
2415.875,90.842,92.56702137,55.63760125,2.428,28.818,2.204,62.673
2416,92.102,92.56471301,55.64048,2.433,30.593,2.18,65.149
2416.125,94.298,92.5624047,55.64335875,2.439,32.68,2.141,67.499
2417.875,98.122,92.5300945,55.68366125,2.443,34.658,2.043,69.924
2418,92.958,92.52778705,55.68654,2.436,31.861,2.042,66.75
2418.125,88.429,92.52547967,55.68941875,2.429,29.562,2.032,63.112
2418.25,85.637,92.52317235,55.6922975,2.424,27.93,2.003,59.132
2418.375,84.96,92.52086508,55.69517625,2.423,26.806,1.968,56.619
2418.5,85.812,92.51855787,55.698055,2.425,25.809,1.912,54.695
2418.625,86.79,92.51625072,55.70093375,2.428,25.374,1.846,52.571
2418.75,88.018,92.51394362,55.7038125,2.431,25.391,1.763,50.202
2418.875,89.087,92.51163658,55.70669125,2.431,25.641,1.699,48.406
2419,89.436,92.5093296,55.70957,2.429,25.898,1.637,47.547
2419.125,89.724,92.50702268,55.71244875,2.424,26.173,1.574,47.133
2419.25,89.876,92.50471581,55.7153275,2.413,26.455,1.521,47.707
2419.375,89.952,92.50240901,55.71820625,2.4,26.803,1.493,48.405
2419.5,89.991,92.50010226,55.721085,2.395,27.154,1.48,48.611
2419.625,90.027,92.49779556,55.72396375,2.394,27.431,1.47,48.652
2419.75,90.037,92.49548893,55.7268425,2.4,27.552,1.469,48.395
2419.875,89.989,92.49318235,55.72972125,2.409,27.152,1.473,48.213
2420,89.885,92.49087583,55.7326,2.413,26.582,1.481,48.371
2420.125,89.753,92.48856937,55.73547875,2.415,25.443,1.491,48.746
2420.25,89.555,92.48626296,55.7383575,2.419,24.131,1.501,49.57
2420.375,89.337,92.48395662,55.74123625,2.427,23.671,1.508,50.375
2420.5,89.23,92.48165033,55.744115,2.436,23.469,1.513,50.858
2420.625,89.141,92.47934409,55.74699375,2.444,24.028,1.517,51.129
2420.75,89.103,92.47703792,55.7498725,2.45,24.785,1.518,50.887
2420.875,89.129,92.4747318,55.75275125,2.445,25.099,1.516,50.487
