Depth,AC,DEN,Ip,Pp
3297.625,90.319,2.555,8622.371815,47.74066947
3297.75,90.851,2.558,8581.946264,48.20260124
3297.875,91.176,2.553,8534.640695,48.48165619
3298,91.039,2.545,8520.69992,48.36978181
3298.125,90.599,2.538,8538.53133,47.99804146
3298.25,90.505,2.532,8527.192973,47.92075802
3298.375,90.772,2.532,8502.110783,48.15395943
3298.5,91.75,2.534,8418.12752,48.97826848
3298.625,92.941,2.537,8320.091241,49.94080113
3298.75,93.666,2.536,8252.437384,50.5074063
3298.875,94.28,2.528,8172.829868,50.97601938
3299,94.986,2.519,8083.203841,51.50133805
3299.125,95.344,2.508,8017.687531,51.76437196
3299.25,95.256,2.494,7980.297304,51.70460999
3299.375,94.944,2.488,7987.259858,51.48172432
3299.5,94.237,2.489,8050.417564,50.96226717
3299.625,93.431,2.493,8132.915199,50.35257781
3299.75,92.901,2.501,8205.560758,49.94275339
3299.875,92.478,2.509,8269.460845,49.61045978
3300,92.269,2.513,8301.405673,49.44617546
3300.125,92.497,2.516,8290.828892,49.63311896
3300.25,92.47,2.519,8303.138315,49.61523119
3300.375,91.705,2.519,8372.402813,48.99730062
3300.5,88.75,2.519,8651.168451,46.42033773
3300.625,85.25,2.519,9006.348387,42.9506796
3301.125,86.106,2.529,8952.212389,43.8615361
3301.25,86.84,2.535,8897.60479,44.60864923
3301.375,87.167,2.537,8871.219613,44.93658467
3301.5,86.579,2.539,8938.509338,44.35459889
3303.25,86.71,2.535,8910.944528,44.5402619
3303.375,88.408,2.531,8726.006696,46.18965627
3303.5,89.509,2.526,8601.646762,47.20267772
3303.625,89.015,2.527,8652.80683,46.75906397
3303.75,88.096,2.53,8753.450781,45.90705481
3303.875,87.423,2.536,8841.755602,45.2640655
3304,87.683,2.544,8843.347057,45.51983786
3304.125,88.74,2.551,8762.055443,46.52143788
3304.25,89.292,2.553,8714.715764,47.02996736
3304.375,89.143,2.553,8729.282165,46.89860203
3304.5,87.188,2.552,8921.52131,45.05329007
3307,94.633,2.537,8171.331354,51.47812338
3307.125,96.758,2.53,7969.821617,52.98972303
